date,headline,source,summary
2024-01-01,Intimation of Change in Senior Management w.e.f. 01.01.2024,BSE,Change In Senior Management
2024-01-05,Intimation of Change in senior management w.e.f. 04.01.2024.,BSE,Change In Senior Management
2024-01-05,Intimation of Change in Senior Management w.e.f. 05.01.2024,BSE,Change In Senior Management
2024-01-07,"ONGC successfully commences ""First Oil"" production from KG-DWN-98/ 2 Deepwater block in Krishna Godavari",BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-01-08,Change in Senior Management,BSE,Change In Senior Management
2024-01-09,Press Release dated 09.01.2024,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-01-09,"Compliance Certificate under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018",BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2024-01-09,Change in Senior Management,BSE,Change In Senior Management
2024-01-12,Change in Senior Management,BSE,Change In Senior Management
2024-01-18,Change in Senior Management,BSE,Change In Senior Management
2024-01-23,"Oil And Natural Gas Corporation Ltdhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 13/02/2024 ,inter alia, to consider and approve Un-Audited ....",BSE,"Board Meeting Intimation for Consideration Of Un-Audited Financial Results For The Quarter And Nine Months Ended 31.12.2023 And Recommendation Of 2Nd Interim Dividend, If Any, For The FY'24."
2024-01-23,Change in Senior Management,BSE,Change In Senior Management
2024-01-23,"The Board has, inter-alia, accorded approval for the following business items:
1. Formation of Wholly Owned Subsidiary for Green Energy and Gas Business with the proposed name ''ONGC Green ....",BSE,Board Meeting Outcome for Outcome Of Board Meeting
2024-01-31,Intimation regarding Loss of Share Certificate(s),BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-01-31,"In terms of Regulation 42 of SEBI (LODR), Regulations, 2015, it is hereby informed that Wednesday, the 21st February, 2024 has been fixed as ""Record Date"" for determining eligibility of ....",BSE,Intimation Of Record Date
2024-02-01,"Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015
1. Superannuation of Director (Finance) & CFO
2. Additional Charge of the post of Director (Finance)",BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2024-02-01,Change in Senior Management,BSE,Change In Senior Management
2024-02-02,"The Board Meeting to be held on 13/02/2024 has been revised to 10/02/2024 The Board Meeting to be held on 13/02/2024 has been revised to 10/02/2024 inter-alia, to consider and approve Un-Audited ....",BSE,Update on board meeting
2024-02-02,"Due to change in date of Board Meeting i.e. 10.02.2024, the Record date has also been revised to 17.02.2024 for declaration of 2nd Interim Dividend, if any.",BSE,Change In Record Date
2024-02-07,Intimation of Conference call with Analyst(s) & Investor(s) on Q3 FY'' 24 Financial Results,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-02-10,Press Release dated 10.02.2024,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-02-10,Declaration of 2nd Interim Dividend for Financial Year 2023-24,BSE,Corporate Action-Board approves Dividend
2024-02-10,Financial Results for the Quarter ended 31.12.2023,BSE,Financial Results For The Quarter Ended 31.12.2023
2024-02-10,"The Board has, inter-alia, accorded approval for the following business items:
1. Unaudited Financial Results (Standalone and Consolidated) for the Quarter and Nine Months ended 31st December, ....",BSE,Board Meeting Outcome for Outcome Of Board Meeting
2024-02-12,"In terms of Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, it is informed that audio recording of subject meet has been uploaded at the website ....",BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-02-14,Intimation of Schedule of Analyst(s)/ Institutional Investor(s) Meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-02-15,Notice of Postal Ballot dated 15.02.2024,BSE,Shareholder Meeting / Postal Ballot-Notice of Postal Ballot
2024-02-17,Newspaper Clippings of Postal Ballot Notice,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-02-19,"Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015 with respect to Merger of Step-Down Subsidiaries.",BSE,Merger Of Step-Down Subsidiaries
2024-02-19,Transcript of Analyst/Investor Meet held on 12.02.2024,BSE,Announcement under Regulation 30 (LODR)-Earnings Call Transcript
2024-02-20,"The Board of Directors in their meeting held on 20.02.2024 have, inter-alia, considered and accorded in-principle approval for the Formation of Joint Venture for setting-up of Compressed ....",BSE,Board Meeting Outcome for Formation Of Joint Venture For Setting-Up Compressed Bio Gas (CBG) Plants
2024-02-23,"Disclosure of event or information under Regulation 30 of SEBI (LODR) Regulations, 2015.",BSE,"Disclosure Of Event Or Information Under Regulation 30 Of SEBI (LODR) Regulations, 2015."
2024-02-27,"Pursuant to Regulation 30 of SEBI (LODR), Regulations, 2015, it is informed that the Company has received Certificate of Incorporation of ""ONGC Green Limited on 27.02.2024"".",BSE,Incorporation Of Wholly Owned Subsidiary 'ONGC Green Limited'
2024-03-01,Change in Senior Management,BSE,Change In Senior Management
2024-03-04,Change in Senior Management,BSE,Change In Senior Management
2024-03-04,Intimation regarding Loss of Share Certificate(s).,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-03-05,"additional Equity Investment in wholly owned subsidiary ""ONGC Green Limited""",BSE,Additional Equity Investment In Wholly Owned Subsidiary 'ONGC Green Limited'
2024-03-16,Scrutinizer''s report w.r.t Postal Ballot Notice dated 15.02.2024.,BSE,"Shareholder Meeting / Postal Ballot-Scrutinizer""s Report"
2024-03-22,Intimation of Withdrawal of Credit Rating,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2024-03-27,Intimation of Closure of Trading Window- Annual Plan for Financial Year 2024-25.,BSE,Closure of Trading Window
2024-04-04,"Compliance Certificate under Reg. 7 (3) of SEBI (LODR) Regulations, 2015.",BSE,Compliance Certificate For The Financial Year Ended 31.03.2024.
2024-04-08,Compliance Certificate for the quarter ended 31.03.2024.,BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2024-04-25,"Annual Compliance Certificate under Regulation 40(10) and 61(4) of SEBI (LODR) Regulations, 2015.",BSE,"Certificate Under Regulation 40(10) And 61(4) Of SEBI (LODR) Regulations, 2015."
2024-05-01,change in Senior Management,BSE,Change In Senior Management
2024-05-02,Appointment of Secretarial Auditors for the Financial Year 2023-24.,BSE,"Appointment Of M/S. JMC & Associates, Practicing Company Secretaries As A Secretarial Auditors For The FY'24"
2024-05-02,"Extension of Backstopping support to investors of CCDs of Rs. 
5615 crore issued by OPAL, a Joint venture of the Company",BSE,"Disclosure Under Regulation 30 Of SEBI (LODR) Regulations, 2015"
2024-05-08,"Oil And Natural Gas Corporation Ltdhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 20/05/2024 ,inter alia, to consider and approve  Audited Financial ....",BSE,"Board Meeting Intimation for For Consideration Of Audited Financial Results For The Quarter And Year Ended 31St March 2024 And Declaration Of Final Dividend, If Any"
2024-05-16,Intimation of Conference call with Analyst(s) & Investor(s) on Q4 FY'' 24 Financial Results,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-05-20,Intimation regarding Loss of Share Certificate(s),BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-05-20,Results for the Financial Year ended 31.03.2024,BSE,Results For The Financial Year Ended 31.03.2024
2024-05-20,Press Release dated 20.05.2024,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-05-20,Recommendation of Final Dividend for Financial Year ended 2023-24,BSE,Board Meeting Outcome for Recommendation Of Final Dividend For Financial Year Ended 2023-24
