date,headline,source,summary
2024-01-02,Loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-01-03,Conclusion of Issuance of Syndicated Borrowing,BSE,Conclusion Of Issuance Of Syndicated Borrowing
2024-01-04,Conclusion of issuance of USD 1 billion through Syndicated Loan,BSE,Conclusion Of Issuance Of USD 1 Billion Through Syndicated Loan
2024-01-10,Issuance of USD 600 Mio Fixed Rate Senior Unsecured Notes,BSE,Issuance Of USD 600 Mio Fixed Rate Senior Unsecured Notes
2024-01-10,Certificate under Reg 74(5),BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2024-01-11,Loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-01-15,Newspaper Publication,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-01-15,Loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-01-17,"STATE BANK OF INDIAhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 03/02/2024 ,inter alia, to consider and approve financial results for the quarter ....",BSE,Board Meeting Intimation for Consideration Of Financial Results For The Quarter / Nine Months Ended 31.12.2023
2024-01-18,Disclosure under Regulation 30 - Press Release / Media Release,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-01-18,General Updates on Bidding,BSE,General Updates On Bidding
2024-01-19,Allotment,BSE,Announcement under Regulation 30 (LODR)-Allotment
2024-01-20,Disclosure under Regulation 51 of SEBI LODR Regulations 2015,BSE,Disclosure Under Regulation 51 Of SEBI LODR Regulations 2015
2024-01-20,Updates on acquisition of shares of Canpac Trends Pvt. Ltd.,BSE,Updates On Acquisition Of Shares Of Canpac Trends Pvt. Ltd.
2024-01-20,Loss share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-01-23,Analyst/ Investor Meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-01-25,Change in Senior Management,BSE,Change In Senior Management
2024-01-31,Analyst/ Investor Meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-01-31,Modalities of Analyst Meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-01-31,Change in Senior Management,BSE,Change In Senior Management
2024-02-01,Details of loss certificates,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
