date,headline,source,summary
2024-01-04,Allotment of Equity Shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-01-04,"WIPRO LIMITED TO ANNOUNCE RESULTS FOR THE THIRD QUARTER ENDED DECEMBER 31, 2023, ON JANUARY 12, 2024",BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-01-04,"Pursuant to Regulation 30 read with Para A of Part A of Schedule III of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, it is informed that Rizing Middle East ....",BSE,"Intimation Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015"
2024-01-05,"Pursuant to Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018, a copy of the certificate received from KFin Technologies Limited, the Registrar and Share Transfer ....",BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2024-01-06,Grant of Restricted Stock Units,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-01-11,Allotment of Equity Shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-01-12,"Outcome of Board Meeting - Financial Results, Interim Dividend",BSE,Outcome Of Board Meeting
2024-01-12,Corporate Action - Board approves Interim Dividend,BSE,Corporate Action-Board approves Dividend
2024-01-12,Press Release,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-01-12,"Auditors Report on financial statements for the quarter ended December 31, 2023 with UDIN",BSE,"Auditor''s Report On Financial Statements For The Quarter Ended December 31, 2023 With UDIN"
2024-01-12,"The Board of Directors ('Board') of Wipro Limited, have at their meeting held over January 11-12, 2024, considered and approved the payment of interim dividend of ? 1/- per equity share ....",BSE,Board Meeting Outcome for Outcome Of Board Meeting - Interim Dividend
2024-01-12,"This is to inform that the presentation and video recording of the earnings press conference held on January 12, 2024 is available on the Company's website at
https://www.wipro.com/ne ....",BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-01-15,"Newspaper Advertisement - Regulation 47 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-01-16,Transcript of the Analyst/ Institutional Investor Meeting,BSE,Announcement under Regulation 30 (LODR)-Earnings Call Transcript
2024-01-18,Grant of Restricted Stock Units,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-01-18,"Pursuant to Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 and para 202.05 read with para 202.06 of the ....",BSE,"Disclosure Pursuant To Regulation 30 Of The Securities Board Of India (Listing Obligations And Disclosure Requirements) Regulations, 2015"
2024-01-19,"Newspaper Advertisement - Regulation 47 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-01-23,"The Exchange has received the disclosure under Regulation 29(2) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011 for Tariq Azim Premji",BSE,"Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011"
2024-01-23,"The Exchange has received the disclosure under Regulation 29(2) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011 for Azim H Premji",BSE,"Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011"
2024-01-23,"The Exchange has received the disclosure under Regulation 29(2) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011 for Rishad Azim Premji",BSE,"Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011"
2024-01-25,Allotment of Equity shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-01-25,"Intimation of Schedule of Analyst / Institutional Investor Meetings under the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-02-01,Grant of Restricted Stock Units,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-02-05,Allotment of Equity shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-02-07,"Wipro Named Among Top Employers 2024 in 13 Countries across Asia Pacific, Europe and Americas",BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
